id,type,src,dst,app,latency,message,ctime,size,buffer
493,LINK,197,173,8,57.031902,M.USER.APP.8,3861.031902,3095706,394
229,LINK,74,153,4,37.324143,M.USER.APP.4,3862.022150527778,3972429,394
429,LINK,7,74,9,10.633959,M.USER.APP.9,3862.5579199111103,4437713,394
439,LINK,3,7,6,11.121448684210526,M.USER.APP.6,3867.464927928574,2307525,394
332,LINK,185,112,3,54.6895075,M.USER.APP.3,3867.908507750003,2758030,394
429,LINK,74,153,9,37.47923766666667,M.USER.APP.9,3873.19187891111,4437713,394
485,LINK,64,7,2,60.5938254,M.USER.APP.2,3876.989709,2969127,394
486,LINK,107,7,2,38.2969127,M.USER.APP.2,3877.4845635,2969127,394
484,LINK,106,15,2,30.2969127,M.USER.APP.2,3877.979418,2969127,394
439,LINK,7,74,6,10.32964642857143,M.USER.APP.6,3878.5863766127845,2307525,394
428,LINK,173,110,8,19.031902,M.USER.APP.8,3882.4202733333323,3095706,394
333,LINK,112,100,4,12.496553625,M.USER.APP.4,3882.4291895000015,3972429,394
293,LINK,112,100,3,12.34475375,M.USER.APP.3,3884.516311000003,2758030,393
439,LINK,74,153,6,36.769175,M.USER.APP.6,3888.916023041356,2307525,393
448,LINK,109,3,3,32.39400428571429,M.USER.APP.3,3889.686887500003,2758030,393
333,LINK,100,74,4,34.441381,M.USER.APP.4,3894.9257431250016,3972429,393
202,LINK,74,153,3,36.91934333333333,M.USER.APP.3,3896.3285983055557,2758030,393
495,LINK,169,112,0,72.4849385,M.USER.APP.0,3900,1939754,394
496,LINK,196,185,1,49.0304315,M.USER.APP.1,3900,4121726,395
497,LINK,195,175,2,40.989709,M.USER.APP.2,3900,2969127,396
498,LINK,172,64,2,76.989709,M.USER.APP.2,3900,2969127,397
499,LINK,178,107,2,77.4845635,M.USER.APP.2,3900,2969127,398
500,LINK,194,190,3,28.6895075,M.USER.APP.3,3900,2758030,399
501,LINK,196,185,3,48.6895075,M.USER.APP.3,3900,2758030,400
502,LINK,169,112,4,72.99310725,M.USER.APP.4,3900,3972429,401
503,LINK,187,112,5,32.99545466666667,M.USER.APP.5,3900,2986364,402
504,LINK,194,190,6,28.57688125,M.USER.APP.6,3900,2307525,403
505,LINK,198,196,7,56.450138333333335,M.USER.APP.7,3900,4350415,404
506,LINK,199,197,8,61.031902,M.USER.APP.8,3900,3095706,405
507,LINK,197,173,9,57.47923766666667,M.USER.APP.9,3900,4437713,406
428,LINK,110,4,8,12.3095706,M.USER.APP.8,3901.4521753333324,3095706,406
293,LINK,100,74,3,34.30644777777778,M.USER.APP.3,3907.2704968750018,2758030,406
484,LINK,15,7,2,18.424161,M.USER.APP.2,3908.2763307,2969127,406
428,LINK,4,7,8,5.171983666666667,M.USER.APP.8,3913.7617459333323,3095706,406
486,LINK,7,74,2,10.424161,M.USER.APP.2,3915.7814762000003,2969127,406
336,LINK,185,112,7,55.08760375,M.USER.APP.7,3916.9961115000033,4350415,406
428,LINK,7,74,8,10.442243714285715,M.USER.APP.8,3918.933729599999,3095706,406
448,LINK,3,7,3,11.14515947368421,M.USER.APP.3,3922.0808917857175,2758030,405
486,LINK,74,153,2,36.989709,M.USER.APP.2,3926.2056372,2969127,405
484,LINK,7,74,2,10.424161,M.USER.APP.2,3926.7004917,2969127,405
500,LINK,190,109,3,54.551606,M.USER.APP.3,3928.6895075,2758030,405
347,LINK,74,153,5,36.99545466666667,M.USER.APP.5,3930.6604165277786,2986364,405
503,LINK,112,100,5,12.3732955,M.USER.APP.5,3932.995454666667,2986364,405
448,LINK,7,74,3,10.394004285714285,M.USER.APP.3,3933.2260512594016,2758030,405
428,LINK,74,153,8,37.031902,M.USER.APP.8,3936.647880914286,3095706,405
485,LINK,7,74,2,10.424161,M.USER.APP.2,3937.5835343999997,2969127,405
297,LINK,112,100,7,12.543801875,M.USER.APP.7,3939.6039147500032,4350415,405
442,LINK,173,110,9,19.479237666666666,M.USER.APP.9,3939.8995109999987,4437713,405
497,LINK,175,106,2,36.989709,M.USER.APP.2,3940.989709,2969127,405
452,LINK,109,3,6,32.32964642857143,M.USER.APP.6,3944.148392500003,2307525,405
503,LINK,100,74,5,34.331818222222225,M.USER.APP.5,3945.368750166667,2986364,405
484,LINK,74,153,2,36.989709,M.USER.APP.2,3947.072041914286,2969127,405
339,LINK,112,100,0,12.24246925,M.USER.APP.0,3954.9141280000013,1939754,405
505,LINK,196,185,7,49.08760375,M.USER.APP.7,3956.450138333333,4350415,405
504,LINK,190,109,6,54.461505,M.USER.APP.6,3957.2663887500003,2307525,405
448,LINK,74,153,3,36.91934333333333,M.USER.APP.3,3957.4660462,2758030,405
297,LINK,100,74,7,34.483379444444445,M.USER.APP.7,3957.912552041667,4350415,405
442,LINK,110,4,9,12.4437713,M.USER.APP.9,3959.378748666665,4437713,404
506,LINK,197,173,8,57.031902,M.USER.APP.8,3961.031902,3095706,404
206,LINK,74,153,7,37.450138333333335,M.USER.APP.7,3965.143795972223,4350415,404
340,LINK,185,112,1,55.0304315,M.USER.APP.1,3966.0265430000036,4121726,404
485,LINK,74,153,2,36.989709,M.USER.APP.2,3967.8902072,2969127,404
339,LINK,100,74,0,34.215528222222225,M.USER.APP.0,3970.155021291667,1939754,404
442,LINK,4,7,9,5.246539611111111,M.USER.APP.9,3971.8225199666654,4437713,404
452,LINK,3,7,6,11.121448684210526,M.USER.APP.6,3976.4780389285743,2307525,404
498,LINK,64,7,2,60.5938254,M.USER.APP.2,3976.989709,2969127,404
442,LINK,7,74,9,10.633959,M.USER.APP.9,3977.0690595777764,4437713,404
499,LINK,107,7,2,38.2969127,M.USER.APP.2,3977.4845635,2969127,404
497,LINK,106,15,2,30.2969127,M.USER.APP.2,3977.979418,2969127,404
452,LINK,7,74,6,10.32964642857143,M.USER.APP.6,3987.5994876127847,2307525,404
442,LINK,74,153,9,37.47923766666667,M.USER.APP.9,3987.703018577776,4437713,404
301,LINK,112,100,1,12.51521575,M.USER.APP.1,3994.634346250003,4121726,404
441,LINK,173,110,8,19.031902,M.USER.APP.8,3996.9314129999984,3095706,403
452,LINK,74,153,6,36.769175,M.USER.APP.6,3998.0326650063475,2307525,403
461,LINK,109,3,3,32.39400428571429,M.USER.APP.3,3998.6999985000034,2758030,403
235,LINK,74,153,0,36.64658466666667,M.USER.APP.0,3999.3593241944454,1939754,403
508,LINK,169,112,0,72.4849385,M.USER.APP.0,4000,1939754,404
509,LINK,196,185,1,49.0304315,M.USER.APP.1,4000,4121726,405
510,LINK,195,175,2,40.989709,M.USER.APP.2,4000,2969127,406
511,LINK,172,64,2,76.989709,M.USER.APP.2,4000,2969127,407
512,LINK,178,107,2,77.4845635,M.USER.APP.2,4000,2969127,408
513,LINK,194,190,3,28.6895075,M.USER.APP.3,4000,2758030,409
514,LINK,196,185,3,48.6895075,M.USER.APP.3,4000,2758030,410
515,LINK,169,112,4,72.99310725,M.USER.APP.4,4000,3972429,411
516,LINK,187,112,5,32.99545466666667,M.USER.APP.5,4000,2986364,412
517,LINK,194,190,6,28.57688125,M.USER.APP.6,4000,2307525,413
518,LINK,198,196,7,56.450138333333335,M.USER.APP.7,4000,4350415,414
519,LINK,199,197,8,61.031902,M.USER.APP.8,4000,3095706,415
520,LINK,197,173,9,57.47923766666667,M.USER.APP.9,4000,4437713,416
301,LINK,100,74,1,34.45796955555556,M.USER.APP.1,4007.1495620000032,4121726,416
497,LINK,15,7,2,18.424161,M.USER.APP.2,4008.2763307,2969127,416
345,LINK,185,112,3,54.6895075,M.USER.APP.3,4014.716050500004,2758030,416
499,LINK,7,74,2,10.424161,M.USER.APP.2,4015.7814762000003,2969127,416
441,LINK,110,4,8,12.3095706,M.USER.APP.8,4015.9633149999986,3095706,416
499,LINK,74,153,2,36.989709,M.USER.APP.2,4026.2056372,2969127,416
497,LINK,7,74,2,10.424161,M.USER.APP.2,4026.7004917,2969127,416
346,LINK,112,100,4,12.496553625,M.USER.APP.4,4027.9072352500016,3972429,416
